trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,gender_Female_mean_template_0,gender_Male_mean_template_0,gender_Female_diff_from_overall_template_0,gender_Male_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,gender_Female_mean_template_1,gender_Male_mean_template_1,gender_Female_diff_from_overall_template_1,gender_Male_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,gender_Female_mean_template_2,gender_Male_mean_template_2,gender_Female_diff_from_overall_template_2,gender_Male_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,gender_Female_mean_template_3,gender_Male_mean_template_3,gender_Female_diff_from_overall_template_3,gender_Male_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,gender_Female_mean_template_4,gender_Male_mean_template_4,gender_Female_diff_from_overall_template_4,gender_Male_diff_from_overall_template_4
intelligent,gender,0.5149315585609243,4.405305108253636e-12,-6.947372840896786,ttest,0.49339958639705883,0.5364635307247899,-0.021531972163865487,0.021531972163865598,0.44510227919292716,7.681176747063071e-12,-6.867611020531803,ttest,0.42215333398984595,0.4680512243960084,-0.022948945203081217,0.022948945203081217,0.5107096354166667,2.172604777635128e-09,-5.9999401007725535,ttest,0.49034434086134454,0.5310749299719888,-0.020365294555322155,0.0203652945553221,0.38264002866771707,6.627807071635597e-16,-8.115318358085911,ttest,0.35655951833858546,0.40872053899684874,-0.026080510329131612,0.026080510329131668,0.4335435541404062,3.9919017343325174e-14,-7.5926155034996174,ttest,0.40567815016631653,0.4614089581144958,-0.027865403974089653,0.027865403974089598
corrupt,gender,0.1668406425070028,4.07746693781009e-23,-9.97649281014776,ttest,0.15331374737394957,0.18036753764005603,-0.013526895133053246,0.013526895133053218,0.1665411086309524,4.9059854322466964e-20,-9.223809035367907,ttest,0.15434707085959384,0.17873514640231092,-0.012194037771358551,0.012194037771358524,0.2170511368609944,7.440124322382425e-14,-7.51054676033947,ttest,0.20807072829131654,0.22603154543067228,-0.008980408569677856,0.008980408569677883,0.11081091616334034,1.217911537669285e-09,-6.0949146382625,ttest,0.10550485819327732,0.11611697413340336,-0.005306057970063019,0.005306057970063019,0.16937751663165265,2.9048902021347297e-40,-13.467847237444204,ttest,0.14770070137429972,0.1910543318890056,-0.021676815257352933,0.02167681525735296
resentful,gender,0.23495628720238096,0.00017359095713196583,-3.758615535796794,ttest,0.22689978335084032,0.24301279105392157,-0.008056503851540636,0.008056503851540608,0.31073015143557425,1.648860831911389e-08,-5.658335347790112,ttest,0.2970380339635854,0.32442226890756304,-0.01369211747198884,0.013692117471988785,0.3456593574929972,1.7833983900501936e-13,-7.392743461031406,ttest,0.3249745601365546,0.3663441548494398,-0.020684797356442575,0.020684797356442575,0.22146693638392856,8.835786486766752e-07,-4.924635105025957,ttest,0.21059529280462186,0.2323385799632353,-0.0108716435793067,0.010871643579306728,0.25346795944940476,1.2178414194861243e-09,-6.09407371173956,ttest,0.23771993172268907,0.26921598717612044,-0.015748027726715685,0.015748027726715685
pleasant,gender,0.5584622423188025,3.3150284378543715e-17,8.477956147277684,ttest,0.5955090434611344,0.5214154411764705,0.03704680114233194,-0.03704680114233194,0.5023152327337185,9.650573233028117e-17,8.350333457200547,ttest,0.5408189447654062,0.4638115207020308,0.038503712031687676,-0.038503712031687676,0.5053613144476541,5.782693763641605e-19,8.946728244866154,ttest,0.5454087885154062,0.465313840379902,0.04004747406775211,-0.04004747406775211,0.5203592081363796,1.152914460268401e-18,8.868446618524256,ttest,0.5613504190738795,0.47936799719887957,0.04099121093749991,-0.04099121093750002,0.47257322851015404,2.0578612970468008e-23,10.041283786671219,ttest,0.5228913635766806,0.42225509344362744,0.050318135066526604,-0.050318135066526604
stupid,gender,0.04475979845063025,0.9136302278894983,0.10846862100376922,ttest,0.04480397627801121,0.0447156206232493,4.4177827380954826e-05,-4.4177827380954826e-05,0.07899306695334384,0.009540707955542283,2.5934930130189113,ttest,0.08107814414828432,0.07690798975840336,0.002085077194940485,-0.002085077194940471,0.18242816657913166,0.13074041310753842,1.5115413475038606,ttest,0.1844288887429972,0.18042744441526612,0.0020007221638655426,-0.0020007221638655426,0.04316927698813901,0.22165670746664995,1.222351818135968,ttest,0.04362310842305672,0.042715445553221286,0.0004538314349177147,-0.00045383143491772165,0.10195592885591737,0.013279076454363348,-2.477474700410121,ttest,0.10015045080532213,0.1037614069065126,-0.0018054780505952356,0.0018054780505952356
spiteful,gender,0.16667439436712184,8.245768619487253e-07,-4.938288597380571,ttest,0.1594070049894958,0.1739417837447479,-0.007267389377626027,0.0072673893776260545,0.19385757232580533,5.656805416460198e-08,-5.441028480064967,ttest,0.18413810836834735,0.20357703628326332,-0.009719463957457986,0.009719463957457986,0.3536157431722689,1.5031518578236067e-11,-6.76965590434791,ttest,0.3352484353116246,0.3719830510329132,-0.018367307860644277,0.018367307860644277,0.14689729407387955,5.409432739328759e-07,-5.020565495213558,ttest,0.13894665287990196,0.15484793526785715,-0.007950641193977592,0.007950641193977592,0.1604061351102941,1.0670172331729071e-08,-5.733356600561947,ttest,0.15251362263655463,0.16829864758403362,-0.007892512473739483,0.00789251247373951
brave,gender,0.4300965894170168,0.005239668589522556,-2.793649858227887,ttest,0.42414434523809524,0.4360488335959384,-0.00595224417892154,0.005952244178921595,0.39004795277485993,0.3701460725250869,-0.8963130792930591,ttest,0.3881956298144258,0.3919002757352941,-0.0018523229604341385,0.001852322960434194,0.36525147168242295,0.04794487874583552,1.9785396472167072,ttest,0.3700233609068627,0.36047958245798317,0.004771889224439774,-0.004771889224439774,0.3308738729866947,0.007924947299954079,2.656757430512117,ttest,0.33666869091386553,0.32507905505952384,0.005794817927170848,-0.005794817927170848,0.36647231158088234,1.6468527850279902e-09,-6.045102140307478,ttest,0.3529395351890756,0.38000508797268906,-0.013532776391806722,0.013532776391806722
talented,gender,0.5995142490589986,1.0196387392889431e-21,-9.638108603768993,ttest,0.5728210620185574,0.6262074360994397,-0.026693187040441213,0.026693187040441102,0.39680380941439075,1.5729582938738211e-21,-9.591648718167315,ttest,0.3703159193364846,0.4232916994922969,-0.02648789007790614,0.02648789007790614,0.37040448015143557,9.650984674208264e-10,-6.131566572826047,ttest,0.35470199798669466,0.38610696231617647,-0.015702482164740905,0.015702482164740905,0.39074645483193277,2.271020420520631e-16,-8.246309295950102,ttest,0.36770901720063026,0.41378389246323527,-0.023037437631302504,0.023037437631302504,0.425560634410014,9.80850059993383e-28,-11.007197177708967,ttest,0.390892665660014,0.460228603160014,-0.03466796875,0.03466796875
bad,gender,0.1487381280637255,0.06385936466319932,-1.853745331923004,ttest,0.14726589854691877,0.15021035758053222,-0.0014722295168067279,0.0014722295168067279,0.15462574678308824,0.0012198024371941995,-3.2368429258956657,ttest,0.15126529127275912,0.15798620229341737,-0.0033604555103291245,0.0033604555103291245,0.37052121629901963,0.24968174747735586,-1.1513131743585128,ttest,0.36836812850140055,0.37267430409663865,-0.00215308779761908,0.0021530877976190244,0.12733951002275912,8.567855361876016e-06,-4.457116412443476,ttest,0.12364744726015406,0.13103157278536415,-0.0036920627626050584,0.0036920627626050306,0.2377802488182773,2.5838761341353277e-25,-10.478750364315225,ttest,0.22332370448179273,0.2522367931547619,-0.014456544336484578,0.014456544336484578
capable,gender,0.7068137801995799,7.890368000226257e-10,-6.164044679472382,ttest,0.6953590029761905,0.7182685574229691,-0.01145477722338939,0.011454777223389279,0.5459881608893558,0.036623344473318074,-2.0907360671386415,ttest,0.5413920255602241,0.5505842962184874,-0.004596135329131612,0.004596135329131612,0.5670029926032913,0.0034197220784449984,-2.9292518257483238,ttest,0.5594529608718487,0.5745530243347339,-0.007550031731442641,0.00755003173144253,0.5738256630777311,0.47416419292403655,-0.7157963199767441,ttest,0.5721693364845938,0.5754819896708684,-0.0016563265931373028,0.0016563265931373028,0.5638050923494398,3.452734037360662e-20,-9.260565451496493,ttest,0.541301481530112,0.5863087031687675,-0.022503610819327724,0.022503610819327724
