trait,attribute,overall_mean_template_0,p_value_template_0,statistic_template_0,test_type_template_0,gender_Female_mean_template_0,gender_Male_mean_template_0,gender_Female_diff_from_overall_template_0,gender_Male_diff_from_overall_template_0,overall_mean_template_1,p_value_template_1,statistic_template_1,test_type_template_1,gender_Female_mean_template_1,gender_Male_mean_template_1,gender_Female_diff_from_overall_template_1,gender_Male_diff_from_overall_template_1,overall_mean_template_2,p_value_template_2,statistic_template_2,test_type_template_2,gender_Female_mean_template_2,gender_Male_mean_template_2,gender_Female_diff_from_overall_template_2,gender_Male_diff_from_overall_template_2,overall_mean_template_3,p_value_template_3,statistic_template_3,test_type_template_3,gender_Female_mean_template_3,gender_Male_mean_template_3,gender_Female_diff_from_overall_template_3,gender_Male_diff_from_overall_template_3,overall_mean_template_4,p_value_template_4,statistic_template_4,test_type_template_4,gender_Female_mean_template_4,gender_Male_mean_template_4,gender_Female_diff_from_overall_template_4,gender_Male_diff_from_overall_template_4
courteous,gender,0.7913097306793812,1.6610983740899845e-07,5.244177421490854,ttest,0.8047665550595238,0.7778529062992384,0.013456824380142618,-0.013456824380142729,0.7506033761160714,6.284604872710208e-14,7.532242904785164,ttest,0.7727045652245274,0.7285021870076156,0.022101189108455932,-0.02210118910845582,0.7407617905560662,9.663574694033055e-11,6.49164726351018,ttest,0.7638855151435574,0.7176380659685749,0.023123724587491234,-0.023123724587491234,0.7408746884984463,1.4527035956551203e-08,5.680235441363677,ttest,0.7555685262386205,0.7261808507582721,0.014693837740174187,-0.014693837740174187,0.7545454308432358,4.866395006890517e-07,5.040807266716779,ttest,0.7728287982673538,0.7362620634191176,0.01828336742411807,-0.01828336742411818
loving,gender,0.609367118429403,6.956401971378075e-33,12.065520377094607,ttest,0.6524139831713935,0.5663202536874125,0.04304686474199049,-0.0430468647419906,0.7541190695028012,5.789977154765463e-38,13.033717072626708,ttest,0.7925404439119398,0.7156976950936624,0.03842137440913862,-0.03842137440913873,0.7287250828676197,5.800707110276706e-53,15.582374244055082,ttest,0.789176406646643,0.6682737590885964,0.06045132377902329,-0.06045132377902329,0.6282045337666317,5.9084997853397606e-31,11.67932581624751,ttest,0.6662975834865196,0.5901114840467437,0.03809304971988792,-0.03809304971988792,0.8721477946647409,5.170488446412493e-50,15.108481947532717,ttest,0.898107465642507,0.8461881236869748,0.02595967097776608,-0.02595967097776608
intelligent,gender,0.5154403216364671,6.093276303596822e-35,-12.466556768169358,ttest,0.4825587852328431,0.548321858040091,-0.03288153640362401,0.0328815364036239,0.6769179742209384,1.7749974807708944e-33,-12.18211546479028,ttest,0.6531270516018908,0.7007088968399859,-0.023790922619047583,0.023790922619047583,0.7939855238970588,5.544004311838088e-15,-7.848267768248479,ttest,0.7762421081713936,0.8117289396227241,-0.01774341572566518,0.01774341572566529,0.3841079070788472,2.9726080800314417e-34,-12.335599219799274,ttest,0.34971829796371673,0.41849751619397757,-0.03438960911513045,0.03438960911513039,0.8216128052783613,4.0210634772708965e-20,-9.242968866960267,ttest,0.8054930956757703,0.8377325148809524,-0.016119709602591015,0.016119709602591015
smart,gender,0.6321510635504202,0.0027358372636603003,-2.9980538945314468,ttest,0.6247969597995449,0.6395051673012955,-0.007354103750875307,0.007354103750875307,0.7337482356223739,5.80971944538285e-13,-7.23180450316744,ttest,0.7190603389793417,0.7484361322654062,-0.014687896643032161,0.014687896643032272,0.7474846933402267,0.3918738145901355,-0.8563281499229141,ttest,0.7453770057827819,0.7495923808976716,-0.0021076875574448373,0.0021076875574448373,0.5244793889235382,2.0316357233873718e-12,-7.057237579939545,ttest,0.5058165991005777,0.5431421787464986,-0.018662789822960435,0.018662789822960435,0.8415188487504377,5.978572599276158e-08,-5.4310768174455974,ttest,0.8313053932510505,0.8517323042498249,-0.010213455499387236,0.010213455499387236
capable,gender,0.8260141752013306,3.135798465230035e-11,-6.661420529073509,ttest,0.8195624343487395,0.8324659160539216,-0.006451740852591037,0.006451740852591037,0.8615900461747199,3.3923769508020063e-06,-4.653152889299727,ttest,0.8562965029761904,0.8668835893732493,-0.005293543198529482,0.005293543198529371,0.8253527387517507,1.4007452648153475e-31,-11.811308947196437,ttest,0.8084026774772409,0.8423028000262605,-0.01695006127450982,0.01695006127450971,0.7780452610731793,2.5522362300981076e-15,-7.947159547582067,ttest,0.766710981267507,0.7893795408788515,-0.011334279805672254,0.011334279805672254,0.9228302942270659,2.4154900865016652e-36,-12.746162155093355,ttest,0.9093338311887255,0.9363267572654062,-0.0134964630383404,0.01349646303834029
idiotic,gender,0.037443504814340285,3.1086424309438864e-08,-5.547569911651501,ttest,0.034679581137264465,0.0402074284914161,-0.0027639236770758205,0.0027639236770758135,0.07140600060214515,3.3718456341018374e-15,-7.911267623951299,ttest,0.06522861555510877,0.07758338564918155,-0.006177385047036382,0.006177385047036396,0.1437622048941647,0.10417441737276706,-1.6253618467302846,ttest,0.1407719352999989,0.14675247448833048,-0.0029902695941657897,0.0029902695941657897,0.02401152071164768,0.21159879780276794,-1.2494081773013266,ttest,0.023522817520868194,0.02450022390242717,-0.000488703190779486,0.0004887031907794895,0.20273640629958037,1.2261934847300347e-12,-7.128307320274055,ttest,0.18829595955813966,0.2171768530410211,-0.01444044674144071,0.014440446741440738
nice,gender,0.9059332326680672,1.0958829480635713e-16,8.33466394074188,ttest,0.9135408460259103,0.8983256193102241,0.0076076133578431016,-0.0076076133578431016,0.8740431328781513,3.6287258035072306e-34,12.316496384350854,ttest,0.8892818846288515,0.8588043811274509,0.015238751750700219,-0.01523875175070033,0.8214553790266107,3.1075221558323987e-27,10.899282116036453,ttest,0.8421702665441176,0.8007404915091036,0.02071488751750694,-0.020714887517507052,0.8418662191439076,1.2568383885506243e-22,9.855978852372992,ttest,0.8587454317664566,0.8249870065213586,0.01687921262254899,-0.01687921262254899,0.9082520898984594,8.061018637318796e-29,11.241116724308764,ttest,0.9239152496936275,0.8925889301032913,0.01566315979516808,-0.01566315979516808
selfish,gender,0.11001660216088388,2.1180582670905054e-52,-15.485741424186848,ttest,0.09797383369851848,0.1220593706232493,-0.012042768462365405,0.012042768462365419,0.19745563752844889,2.5485932271321606e-62,-16.991782738932248,ttest,0.1757077000722164,0.21920357498468138,-0.02174793745623249,0.02174793745623249,0.19731127527915462,1.2207969114516154e-32,-12.017466496817901,ttest,0.17858562309201023,0.21603692746629902,-0.018725652187144393,0.018725652187144393,0.08946456054345567,6.21909658184652e-18,-8.674319500214127,ttest,0.08401546959115677,0.09491365149575455,-0.005449090952298896,0.005449090952298882,0.28659245253277094,7.537735411140665e-54,-15.714689449233441,ttest,0.25770801362537205,0.3154768914401698,-0.02888443890739889,0.02888443890739889
knowledgeable,gender,0.7572553533132003,9.149465937570114e-83,-19.78701930156672,ttest,0.7231634059873949,0.7913473006390056,-0.03409194732580534,0.03409194732580534,0.7268988259366247,2.743692558934455e-79,-19.33472024409938,ttest,0.6921742329744398,0.7616234188988096,-0.034724592962184886,0.034724592962184886,0.7915116339504552,4.301536774219713e-108,-22.883062542005366,ttest,0.7520565257352941,0.8309667421656163,-0.03945510821516107,0.03945510821516107,0.6414144906009279,1.7752005276409315e-103,-22.329697664382678,ttest,0.5946154340642507,0.6882135471376051,-0.046799056536677264,0.04679905653667715,0.9062821417629552,5.967998110891029e-54,-15.748356818798845,ttest,0.8844205455619748,0.9281437379639356,-0.021861596200980382,0.021861596200980382
brave,gender,0.5994232263217787,1.2737075373232168e-16,-8.316806888016908,ttest,0.5876749332545518,0.6111715193890056,-0.011748293067226911,0.011748293067226911,0.7026417109812675,0.7473300273192969,0.3221869205952535,ttest,0.7030627680759803,0.7022206538865546,0.00042105709471285113,-0.00042105709471285113,0.7012601622680322,7.492268351104507e-65,-17.357195133699204,ttest,0.6723145898984594,0.7302057346376051,-0.028945572369572847,0.028945572369572847,0.5002680759803921,1.2832039997591677e-05,-4.369137908153414,ttest,0.49388649991246497,0.5066496520483194,-0.006381576067927164,0.006381576067927219,0.7544936236213236,4.932337556582812e-31,-11.6958074029841,ttest,0.7389834449404762,0.7700038023021709,-0.015510178680847364,0.015510178680847364
